GENERAL|ALL|jg2HB,2r1rbk1/2BR1Rp1/7p/1p6/5Q2/7P/1q4PK/8 b - - 1 24,b2a1 c7e5 a1e5 f7f8 g8h7 f4e5 e8e5 f8c8,2429,81,78,229,crushing master middlegame veryLong,https://lichess.org/asQMxpvY/black#48,,
GENERAL|ALL|CsybP,6R1/pb2kpQ1/1p2pr1p/2p4P/8/5P1K/PP1q4/5R2 b - - 5 37,d2f4 g7f8 e7d7 f1d1,1673,77,92,5608,crushing endgame short,https://lichess.org/SdE8n2hy/black#74,,
GENERAL|ALL|FkBOW,5k2/5pp1/1p6/6P1/2KP3R/5P2/r7/8 w - - 2 31,d4d5 a2a4 c4b5 a4h4,1113,90,94,7190,crushing endgame rookEndgame short skewer,https://lichess.org/pENrOTes#61,,
GENERAL|ALL|PxKx3,3r2k1/1bpr1pp1/pb2qn1p/1p2p3/1P2P3/P1P2NNP/2QB1PP1/3RR1K1 b - - 4 21,e6c4 f3e5 d7d2 d1d2 d8d2 c2d2,1537,78,94,1578,advantage fork long middlegame,https://lichess.org/fTyKgO4O/black#42,,
GENERAL|ALL|usonX,r1b3k1/pp2B1p1/2p1p1q1/8/2PP3Q/P1P5/5PPP/4R1K1 w - - 2 24,e1e3 g6b1 e3e1 b1e1,832,97,91,603,endgame kingsideAttack mate mateIn2 short,https://lichess.org/o4382ZIy#47,,
GENERAL|ALL|DvM1s,8/6p1/8/pp6/6PP/P4P2/1k6/4K3 w - - 0 48,h4h5 b5b4 a3b4 a5a4 e1f2 a4a3,2037,76,93,9039,crushing endgame long pawnEndgame quietMove,https://lichess.org/goNN66Ic#95,,
GENERAL|ALL|8eVUs,4r1k1/p1p2ppp/Q2p2q1/8/2B4P/1P2r3/PB1R2P1/1bK3R1 w - - 0 22,g2g4 e3e1 g1e1 e8e1 d2d1 g6c2,1131,87,91,58,epauletteMate exposedKing long mate mateIn3 middlegame queensideAttack,https://lichess.org/n7FoeSKV#43,,
GENERAL|ALL|9Lgya,2kr4/r2n1q2/1p1R1p1p/p7/P7/1PP3Q1/4NPP1/3R3K w - - 5 32,e2d4 f7h5 g3h3 h5d1,1082,77,87,104,advantage fork middlegame short,https://lichess.org/C94KbE5I#63,,
GENERAL|ALL|2Aa5k,r7/5kb1/1p3p2/1p1pp2p/rPnP2pP/PKP1P1B1/R3NPP1/3R4 w - - 6 30,d4e5 a4a3 a2a3 a8a3 b3c2 a3a2,1177,75,88,1218,crushing long middlegame,https://lichess.org/UVasTwwm#59,,
GENERAL|ALL|iw8I2,5r2/1pp3pk/4q2p/1p2n3/1P1B4/P5Q1/3R1PPP/6K1 b - - 0 28,e5c4 g3g7,1712,112,76,178,endgame mate mateIn1 oneMove,https://lichess.org/NzSyo1eP/black#56,,
GENERAL|ALL|LvB4z,2rr2k1/8/p3p1Qp/1p3n2/P6P/2Pq1b2/1P6/2K3R1 b - - 0 32,g8f8 g6f6 f8e8 f6e6 f5e7 g1g8,2057,74,95,11972,exposedKing killBoxMate long mate mateIn3 middlegame pin,https://lichess.org/f7O4AizE/black#64,,
GENERAL|ALL|Uqazm,r2q2k1/p1pb1Rpp/2p5/3pr1PQ/3N4/2P5/P1P3PP/R5K1 b - - 0 16,d7e8 a1f1 d8d6 f7f8 d6f8 f1f8,2456,87,85,85,advantage kingsideAttack long middlegame quietMove,https://lichess.org/2bM8C3NP/black#32,Italian_Game Italian_Game_Scotch_Gambit,
GENERAL|ALL|ZKU5v,5r1k/2p3bp/pp4p1/4P3/3pP1Q1/1N6/Pq1N2PP/R5K1 w - - 0 23,d2c4 b2f2 g1h1 f2f1 a1f1 f8f1,1377,85,79,441,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/sLhFFUYU#45,,
GENERAL|ALL|qTfCT,r3q3/pp3kpp/2p5/3pn3/3PQ3/1B6/PPP3PP/R5K1 b - - 0 20,e5g6 b3d5 c6d5 e4d5 f7f6 a1f1,2115,80,91,314,advantage endgame long,https://lichess.org/7Jpcrix3/black#40,,
GENERAL|ALL|LeX6f,2r2b1r/1pq2p2/4kp1p/4pN2/4R3/1Q6/PPP2PPP/2KR4 b - - 5 20,e6f5 b3h3 f5g6 e4g4 g6h7 h3d3 e5e4 d3e4 f6f5 e4f5,2514,88,86,698,mate mateIn5 middlegame veryLong,https://lichess.org/TaOGXWBi/black#40,,
GENERAL|ALL|zlOT9,1k1r4/1p3p2/1p3p1p/3q4/P7/5Q2/5PPP/2R3K1 w - - 0 29,f3f6 d5d1 c1d1 d8d1,575,91,57,119,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/IV584g8R#57,,
GENERAL|ALL|lfVEt,r7/p7/1pp1R1pk/6p1/2P5/3n3P/PP3P2/R3K3 w Q - 3 32,e1e2 d3f4 e2e3 f4e6,957,89,94,1286,advantage endgame fork short,https://lichess.org/0LHmSFrg#63,,
GENERAL|ALL|FBMWK,2r3k1/7p/p2p2p1/1pqP1p2/3b4/3Q1RPP/P4PK1/1R1Br3 b - - 7 37,c5d5 d1b3 c8c4 b1e1,1949,88,77,26,crushing discoveredAttack middlegame pin short,https://lichess.org/Hy23SzEC/black#74,,
